ds,y_XGBoost,y_XGBoost_lag15
2023-10-05 16:00:00,85817.33,82406.25
2023-10-05 16:15:00,86148.984,81487.164
2023-10-05 16:30:00,87030.43,82262.12
2023-10-05 16:45:00,87362.484,80912.03
2023-10-05 17:00:00,86613.67,82262.12
2023-10-05 17:15:00,86808.04,83601.94
2023-10-05 17:30:00,87621.8,85336.41
2023-10-05 17:45:00,87953.85,85336.41
2023-10-05 18:00:00,86734.945,85422.52
2023-10-05 18:15:00,86707.88,86038.01
2023-10-05 18:30:00,87482.78,86452.16
2023-10-05 18:45:00,87814.836,86038.01
2023-10-05 19:00:00,86812.72,86452.16
2023-10-05 19:15:00,86785.66,86452.16
2023-10-05 19:30:00,87476.8,86452.16
2023-10-05 19:45:00,87808.85,85407.24
2023-10-05 20:00:00,86812.72,84241.695
2023-10-05 20:15:00,86785.66,85312.37
2023-10-05 20:30:00,87476.8,85312.37
2023-10-05 20:45:00,87808.85,84878.21
2023-10-05 21:00:00,86846.99,84241.695
2023-10-05 21:15:00,86819.93,84878.21
2023-10-05 21:30:00,87473.9,85312.37
2023-10-05 21:45:00,87672.63,86452.16
2023-10-05 22:00:00,87224.14,86452.16
2023-10-05 22:15:00,87197.08,86452.16
2023-10-05 22:30:00,87686.91,85407.24
2023-10-05 22:45:00,87439.87,84361.14
2023-10-05 23:00:00,82832.91,81155.87
2023-10-05 23:15:00,81275.03,78685.39
2023-10-05 23:30:00,78419.99,75595.41
2023-10-05 23:45:00,75172.16,72617.42
2023-10-06 00:00:00,65314.53,61898.133
2023-10-06 00:15:00,59293.08,60397.723
2023-10-06 00:30:00,55294.215,56247.906
2023-10-06 00:45:00,51329.207,47690.055
2023-10-06 01:00:00,45602.094,44128.215
2023-10-06 01:15:00,42852.75,40041.72
2023-10-06 01:30:00,39665.316,35570.914
2023-10-06 01:45:00,37307.938,33160.266
2023-10-06 02:00:00,31816.36,29777.96
2023-10-06 02:15:00,30005.3,27191.621
2023-10-06 02:30:00,27649.32,25538.467
2023-10-06 02:45:00,26139.219,24354.61
2023-10-06 03:00:00,23339.133,22558.498
2023-10-06 03:15:00,21696.47,21053.633
2023-10-06 03:30:00,20795.744,20029.975
2023-10-06 03:45:00,19728.133,19660.307
2023-10-06 04:00:00,18872.035,18874.61
2023-10-06 04:15:00,18749.617,18874.61
2023-10-06 04:30:00,19074.031,18874.61
2023-10-06 04:45:00,19334.156,18874.61
2023-10-06 05:00:00,18695.955,18874.61
2023-10-06 05:15:00,19228.51,18874.61
2023-10-06 05:30:00,19948.312,19314.95
