ds,yhat,yhat_lower,yhat_upper
2023-09-03 06:30:00,28870.022986006727,20566.396205100053,37930.388137931644
2023-09-03 06:45:00,31880.07190549658,22431.029686528535,41281.29414696691
2023-09-03 07:00:00,35064.4097435717,26123.234572272384,44776.557133945906
2023-09-03 07:15:00,38363.98023690077,29495.193760218182,46897.34992858658
2023-09-03 07:30:00,41718.48417525836,32485.748939184323,50396.01908318759
2023-09-03 07:45:00,45068.206239887004,36031.77488990769,53808.50553653996
2023-09-03 08:00:00,48355.91711174932,39912.21597231892,57293.587823224545
2023-09-03 08:15:00,51528.761674244604,42467.79494878696,60543.77986108042
2023-09-03 08:30:00,54540.03817576359,46093.09121047979,63659.29575693595
2023-09-03 08:45:00,57350.77317369482,48820.386963429126,66168.87913989865
2023-09-03 09:00:00,59931.0029491355,51237.54676183284,68938.96179859641
2023-09-03 09:15:00,62260.68404673785,53381.85226574745,70925.98515573572
2023-09-03 09:30:00,64330.172931407506,55960.44317175815,73144.99041641736
2023-09-03 09:45:00,66140.23663917657,57414.33365643026,74939.23793288773
2023-09-03 10:00:00,67701.58140794175,59039.67591227675,76517.23272433446
2023-09-03 10:15:00,69033.91326277802,60587.5845835971,78082.42750143654
2023-09-03 10:30:00,70164.5715040087,61511.46948042773,79777.15466679096
2023-09-03 10:45:00,71126.8015036081,62276.82488972132,79672.94567619648
2023-09-03 11:00:00,71957.75537818679,62794.63429772198,80616.19383784506
2023-09-03 11:15:00,72696.32651279985,63695.31250784301,81968.80080530874
2023-09-03 11:30:00,73380.93535722219,64398.80375920146,81670.86952973763
2023-09-03 11:45:00,74047.38855878332,64719.65490685064,83282.32578762072
2023-09-03 12:00:00,74726.93085625414,66313.5305805002,83771.36833581756
2023-09-03 12:15:00,75444.59930010112,66831.86287047631,84584.83798517841
2023-09-03 12:30:00,76217.9727468851,66849.11914292225,84555.93055492139
2023-09-03 12:45:00,77056.38711649422,67528.78003275707,86042.55682177102
2023-09-03 13:00:00,77960.65990302854,69537.28141865415,86344.64491483763
2023-09-03 13:15:00,78923.33751694855,70556.82971525053,87508.46667938032
2023-09-03 13:30:00,79929.4479913239,71423.76963498248,88772.88642634256
2023-09-03 13:45:00,80957.71133737349,71707.77566520049,89477.1676028398
2023-09-03 14:00:00,81982.13224362116,72959.62649625618,90854.19929655394
2023-09-03 14:15:00,82973.87661493372,74244.61639304334,91716.04337132699
2023-09-03 14:30:00,83903.31607560409,74109.17646974637,93160.81302552907
2023-09-03 14:45:00,84742.11417567106,75718.2302455802,93571.283709961
2023-09-03 15:00:00,85465.2252589224,76250.42990955041,93926.97626189709
2023-09-03 15:15:00,86052.68200986246,76653.22079650017,95361.92713952856
2023-09-03 15:30:00,86491.06033070401,77693.34173417556,95434.08124090324
2023-09-03 15:45:00,86774.52959420191,77704.1137022489,95071.79658020714
2023-09-03 16:00:00,86905.4213496585,78130.28863025695,95108.921243285
2023-09-03 16:15:00,86894.27866736577,77938.33413647064,95590.90649306844
2023-09-03 16:30:00,86759.37969973931,78169.03580439831,96366.8408062516
2023-09-03 16:45:00,86525.76080781198,77487.82048229178,95345.79828868763
2023-09-03 17:00:00,86223.79478613849,76934.41020497432,95172.03548631676
2023-09-03 17:15:00,85887.40648779982,77667.50009114092,94516.04936383278
2023-09-03 17:30:00,85552.02987331175,76543.46810707412,94085.72136829422
2023-09-03 17:45:00,85252.42589479541,76231.53521127488,93959.6619372756
2023-09-03 18:00:00,85020.48877196963,76544.5164775442,94529.08948488119
2023-09-03 18:15:00,84883.16868555418,76577.67932360715,94232.97456697743
2023-09-03 18:30:00,84860.63174666678,76441.66766018551,94342.60030059879
2023-09-03 18:45:00,84964.76380915509,76047.52623455896,93939.5274782743
2023-09-03 19:00:00,85198.10422980283,76627.43527542725,94331.67437995043
2023-09-03 19:15:00,85553.2703663467,76729.9902602929,93958.17577467428
2023-09-03 19:30:00,86012.90506185297,76746.79974036645,94473.34273234109
2023-09-03 19:45:00,86550.1493492726,77844.27706367942,95002.49352904422
2023-09-03 20:00:00,87129.61300595624,78070.26418468189,95974.53488834336
2023-09-03 20:15:00,87708.7881587999,79163.37509046416,96508.26636587398
2023-09-03 20:30:00,88239.82751714514,78531.6127572377,97815.1195562938
2023-09-03 20:45:00,88671.590350361,79574.54061283432,98106.12480589563
2023-09-03 21:00:00,88951.84700665329,79575.35064166937,97600.77282829546
2023-09-03 21:15:00,89029.52719096093,80227.72102794274,98079.86407024767
2023-09-03 21:30:00,88856.89853007325,80386.72908366425,98239.02434187348
2023-09-03 21:45:00,88391.56983070554,79559.18919029961,97051.43955719726
2023-09-03 22:00:00,87598.22721491332,79526.0766699328,96533.42673967744
2023-09-03 22:15:00,86450.02988870683,77826.23621305947,95470.8616215991
2023-09-03 22:30:00,84929.6143451133,76396.17835896461,94228.23245196315
2023-09-03 22:45:00,83029.67982943896,74017.9981595701,92088.66744617421
2023-09-03 23:00:00,80753.1521854497,71364.55323720218,90030.73121301827
2023-09-03 23:15:00,78112.94635785301,68867.83115248992,87213.22898505307
2023-09-03 23:30:00,75131.36826651741,65899.37306536993,84078.44030824154
2023-09-03 23:45:00,71839.21335680815,62852.229086829546,79823.22903916513
2023-09-04 00:00:00,68274.63096236471,60205.88802437409,76947.7157882519
2023-09-04 00:15:00,64481.830207982784,55196.27707107954,73229.98367487974
2023-09-04 00:30:00,60509.70419558774,51363.621634735355,68830.97379857145
2023-09-04 00:45:00,56410.44519814694,47203.6381123598,65511.49450858872
2023-09-04 01:00:00,52238.214826401614,43206.0776862284,61108.555592399556
2023-09-04 01:15:00,48047.920722824725,38716.488181634035,57215.371196788255
2023-09-04 01:30:00,43894.13634223811,35423.54577111209,52876.48772717885
2023-09-04 01:45:00,39830.18417704076,31169.80981858633,49015.79244660607
2023-09-04 02:00:00,35907.386477414875,26978.220390408802,44556.76257086859
2023-09-04 02:15:00,32174.47275147795,23579.440918785407,40783.675165231376
2023-09-04 02:30:00,28677.120910576363,19965.296822485907,37470.88095778095
2023-09-04 02:45:00,25457.59994340341,16674.096502147182,34423.156605346994
2023-09-04 03:00:00,22554.47705108543,13912.559814086646,31557.23246327219
2023-09-04 03:15:00,20002.351562000375,10942.992471785628,29388.51592868619
2023-09-04 03:30:00,17831.581487248477,9144.181582153686,26687.2870426977
2023-09-04 03:45:00,16067.976052789665,7585.862910216552,24810.377014257312
2023-09-04 04:00:00,14732.43807789161,5177.168700835906,23343.98019942084
2023-09-04 04:15:00,13840.552733983517,4771.258384992239,22598.71172790579
2023-09-04 04:30:00,13402.132887961227,4635.791068036288,22776.539617366307
2023-09-04 04:45:00,13420.7446257146,4167.801055727232,22257.982043416418
2023-09-04 05:00:00,13893.248419616517,5396.594243469574,23518.16883378347
2023-09-04 05:15:00,14809.400653270379,5748.45609985313,24100.28879923219
2023-09-04 05:30:00,16151.56585170226,7125.185876389111,25102.543248557085
2023-09-04 05:45:00,17894.59132880331,9183.791094470986,26850.4412391604
2023-09-04 06:00:00,20005.89270661483,11499.531788357537,28666.93847793204
2023-09-04 06:15:00,22445.79082953994,13176.954972195219,31312.142034161683
2023-09-04 06:30:00,25168.12844667749,15834.762340921247,34047.049238034066
2023-09-04 06:45:00,28121.17925768473,19443.991931719658,37339.273112806906
2023-09-04 07:00:00,31248.84360775383,23113.350905657437,40497.87692452614
2023-09-04 07:15:00,34492.10549446013,25528.02255802295,44063.62234487611
2023-09-04 07:30:00,37790.705972699674,28994.29757301993,46908.82148804023
2023-09-04 07:45:00,41084.96995920376,31740.846175151855,50442.57971454829
2023-09-04 08:00:00,44317.7083153983,35575.87728202802,53011.91666328994
2023-09-04 08:15:00,47436.106012809,38277.88657799935,56134.64550981478
2023-09-04 08:30:00,50393.50127329125,41869.13771437667,59539.19152714974
2023-09-04 08:45:00,53150.96047935524,44367.04411460285,62046.788700656776
2023-09-04 09:00:00,55678.55956052451,46600.44165982527,63795.21336294293
2023-09-04 09:15:00,57956.29450132562,48646.4847849267,66615.78290080867
2023-09-04 09:30:00,59974.560972882864,51380.32377497536,69127.69978995452
2023-09-04 09:45:00,61734.164947811805,52947.137125979534,70892.9886635089
2023-09-04 10:00:00,63245.851306902834,55087.59958705336,71666.42985110154
2023-09-04 10:15:00,64529.36439269372,55974.37958295072,73342.6856861818
2023-09-04 10:30:00,65612.08146894939,56016.29927644268,74458.76467450718
2023-09-04 10:45:00,66527.28548788124,57602.27352429957,75450.48001537599
2023-09-04 11:00:00,67312.16573511626,58961.130213653545,76286.05468570515
2023-09-04 11:15:00,68005.65232411418,59726.44490801495,77181.87401972852
2023-09-04 11:30:00,68646.20196447833,59862.61487285938,77568.64059397535
2023-09-04 11:45:00,69269.65706733029,59692.812638818985,77445.88159126534
2023-09-04 12:00:00,69907.29761108325,60943.81524166802,79143.59958356837
2023-09-04 12:15:00,70584.19533431243,61762.896426924024,79622.83390199883
2023-09-04 12:30:00,71317.96320394489,62155.50129417355,79816.16869886075
2023-09-04 12:45:00,72117.97064479963,63071.51306946868,81278.8224103874
2023-09-04 13:00:00,72985.06802490453,64357.479303206936,82174.12980184506
2023-09-04 13:15:00,73911.83397115536,65590.63779506895,82504.85160247375
2023-09-04 13:30:00,74883.32805172108,66371.00620892027,83692.76292994396
2023-09-04 13:45:00,75878.3011050593,66668.99977892205,84664.07070497215
2023-09-04 14:00:00,76870.78791435872,68099.70556162792,85638.26564342855
2023-09-04 14:15:00,77831.98372513728,68938.7873677467,86658.13890375842
2023-09-04 14:30:00,78732.28872112033,70196.54621128805,87547.02908495151
2023-09-04 14:45:00,79543.39421068766,70695.37343142362,88159.67212309391
2023-09-04 15:00:00,80240.28147075535,71258.0223714057,89081.97805659568
2023-09-04 15:15:00,80803.00927303275,71702.01605619035,89394.77597119604
2023-09-04 15:30:00,81218.17873832802,72405.38600376814,89784.08051305203
2023-09-04 15:45:00,81479.98356984963,72442.59548022888,89488.17937622107
2023-09-04 16:00:00,81590.77873843897,72609.03132549184,90294.90045902546
2023-09-04 16:15:00,81561.12980796034,72751.70134677812,89787.18544224005
2023-09-04 16:30:00,81409.33647755209,72051.88926213495,89953.66987036722
2023-09-04 16:45:00,81160.45568949505,72606.0610652335,89827.5976857287
2023-09-04 17:00:00,80844.8798375343,71768.71422906862,89111.90503929387
2023-09-04 17:15:00,80496.55237372499,72083.99356675775,89543.91644133367
2023-09-04 17:30:00,80150.92484279629,70956.72429547047,88713.65197338426
2023-09-04 17:45:00,79842.77474987789,70760.09495775113,88671.96107833453
2023-09-04 18:00:00,79604.01182132485,71064.89520804188,88176.79696881035
2023-09-04 18:15:00,79461.60068595261,70056.76963712687,88132.45232008908
2023-09-04 18:30:00,79435.72082984846,70867.37189283229,88075.51010068144
2023-09-04 18:45:00,79538.27039628307,71274.95359543973,88792.23640733531
2023-09-04 19:00:00,79771.7999349412,71144.4363900159,88584.12644557364
2023-09-04 19:15:00,80128.93688848948,71394.6655017344,88991.79412692029
2023-09-04 19:30:00,80592.33306693903,71776.44153739883,89643.68788910571
2023-09-04 19:45:00,81135.13734347023,72448.39208260586,90493.91109167477
2023-09-04 20:00:00,81721.96619924041,72423.0860372776,90280.03608216668
2023-09-04 20:15:00,82310.31732199626,73152.56656435697,90943.01965272693
2023-09-04 20:30:00,82852.3478316422,73861.50672044126,90954.54355790786
2023-09-04 20:45:00,83296.92025194,74785.16041289638,92112.9476082714
2023-09-04 21:00:00,83591.80702330265,74534.91195780733,92307.10632346426
2023-09-04 21:15:00,83694.47179141392,74741.0274653559,92632.86756806233
2023-09-04 21:30:00,83548.64892639783,75115.69371929503,92605.77701891323
